region,date,Tracker (yoy),Low (yoy),High (yoy),ISO3
Argentina,2018-05-13,-1.6630047825530323,-4.954864404218855,2.6650410373354663,ARG
Argentina,2018-05-20,-2.8425628189360825,-6.021743087289593,0.9902669548796601,ARG
Argentina,2018-05-27,-2.1664060250327175,-5.144606223984112,1.1382206033520084,ARG
Argentina,2018-06-03,-4.247210412258783,-7.068109192466746,-1.2277458488073858,ARG
Argentina,2018-06-10,-3.791226200177271,-7.541708747375898,0.43815312656691796,ARG
Argentina,2018-06-17,-1.2868580440313941,-5.628737208159013,2.5193055496512873,ARG
Argentina,2018-06-24,-3.9954091147784037,-8.314417611776591,0.005305549350745925,ARG
Argentina,2018-07-01,-2.3250972292967065,-5.096226324493445,1.830713324676592,ARG
Argentina,2018-07-08,-1.4730592140950671,-4.858296338229957,1.6284842789710834,ARG
Argentina,2018-07-15,-0.7738884342958962,-3.522253559964845,1.9616165041948612,ARG
Argentina,2018-07-22,-2.6465110178187192,-5.644295570849568,0.20342440932911365,ARG
Argentina,2018-07-29,-3.844653869926376,-6.601423405488824,-0.5166998114539507,ARG
Argentina,2018-08-05,-4.582821935692307,-7.371106354562709,-0.6102642887664459,ARG
Argentina,2018-08-12,-2.937216530715562,-5.733078583626653,1.050464266187087,ARG
Argentina,2018-08-19,-4.218041360888986,-7.565905291910812,-0.16344428164897412,ARG
Argentina,2018-08-26,-3.5784394389476337,-6.979402499264783,0.6677632124605315,ARG
Argentina,2018-09-02,-1.5492987045235587,-5.130924763554419,1.3796600082360384,ARG
Argentina,2018-09-09,-5.0865481971037125,-7.880185758143619,-1.9473435122040892,ARG
Argentina,2018-09-16,-4.356685892317174,-6.977052448348794,-0.17373506507044723,ARG
Argentina,2018-09-23,-6.061429918168056,-9.57046140948463,-1.7264822262521247,ARG
Argentina,2018-09-30,-3.630207748035698,-7.4949491364056815,0.829662427896402,ARG
Argentina,2018-10-07,-6.443180623692934,-10.54635113839748,-1.9466248390789453,ARG
Argentina,2018-10-14,-2.1578326660482072,-5.212737502979046,1.6897039269090204,ARG
Argentina,2018-10-21,-4.351220340288618,-7.501460015672407,-0.3376138726534869,ARG
Argentina,2018-10-28,-5.115170536302359,-7.9923505119005025,-0.8456737021598615,ARG
Argentina,2018-11-04,-7.547443452107306,-11.000420042467212,-3.0131283842197316,ARG
Argentina,2018-11-11,-2.5942907859616033,-5.405331033442211,1.0810639766895358,ARG
Argentina,2018-11-18,-4.917214428260771,-8.137650018013264,-0.4733839544477595,ARG
Argentina,2018-11-25,-4.743275714038101,-8.732305298316188,0.044438888767566326,ARG
Argentina,2018-12-02,-4.593977729113827,-7.259692423059683,0.5780856163828693,ARG
Argentina,2018-12-09,-1.6609009473323784,-5.588830110309169,3.0959123674760263,ARG
Argentina,2018-12-16,0.37368640422433924,-3.937917295398593,3.7702724515521218,ARG
Argentina,2018-12-23,-1.2402420253650785,-5.259193093928336,2.5836955309322693,ARG
Argentina,2018-12-30,-2.615442034152324,-5.847309941923352,0.7664153444545239,ARG
Argentina,2019-01-06,-2.407254372320936,-5.666778813047017,1.292697200314258,ARG
Argentina,2019-01-13,-3.8923629122799777,-7.075014409702243,-0.06537988078751042,ARG
Argentina,2019-01-20,-2.4237691055396087,-6.339298044617169,1.2858564393042022,ARG
Argentina,2019-01-27,-1.3599715648690311,-4.554913268337706,2.225739137828136,ARG
Argentina,2019-02-03,-1.9528611215950575,-5.649206523260441,1.8184738628813635,ARG
Argentina,2019-02-10,-2.6666113262073967,-6.043699173993296,1.2290439725060567,ARG
Argentina,2019-02-17,-2.0766312442496715,-5.630628819552177,1.0990314260705254,ARG
Argentina,2019-02-24,-4.170888523710145,-8.418411586730919,0.5203926957924727,ARG
Argentina,2019-03-03,-0.2673727437710412,-3.2346189283642577,3.605748971359195,ARG
Argentina,2019-03-10,-3.06665913118566,-6.81457278733507,1.2359784184746867,ARG
Argentina,2019-03-17,-4.460538371258845,-7.310558097420426,-0.8085441546881268,ARG
Argentina,2019-03-24,-4.181286383092249,-7.89430401145067,0.5764760457865745,ARG
Argentina,2019-03-31,-6.9301335626470895,-10.151081775679117,-2.863260625196557,ARG
Argentina,2019-04-07,-5.843857671107341,-9.121274233409098,-2.2233246144554655,ARG
Argentina,2019-04-14,-2.4026708470730753,-7.31692100473394,2.6174991826646217,ARG
Argentina,2019-04-21,-3.8229950205836016,-8.037064438462181,1.3886211578684748,ARG
Argentina,2019-04-28,-2.9969798860425736,-7.764796461503549,0.9279999770900146,ARG
Argentina,2019-05-05,-4.46607920316837,-9.199384524814631,-0.3843791531408244,ARG
Argentina,2019-05-12,-0.770412339197343,-5.305782154780516,2.517956482257896,ARG
Argentina,2019-05-19,-0.9344754693191157,-4.180239795500714,1.7105609478124628,ARG
Argentina,2019-05-26,0.02559339145035082,-3.6400121900768836,2.8282183126368587,ARG
Argentina,2019-06-02,-0.21553574335525874,-3.8392157426578732,3.1018569347041227,ARG
Argentina,2019-06-09,0.3200911371883041,-4.939628814156481,3.4835639320805143,ARG
Argentina,2019-06-16,0.06840585834034855,-5.481880088225843,4.197075667371448,ARG
Argentina,2019-06-23,1.0290406332768751,-2.55431936390924,4.369295942722368,ARG
Argentina,2019-06-30,1.13866037540708,-2.4538407463869816,3.9841903862138808,ARG
Argentina,2019-07-07,-3.9301341984520923,-7.783783627796678,-0.10238202137570673,ARG
Argentina,2019-07-14,-3.348435598555126,-7.383523996399426,0.12829481471360993,ARG
Argentina,2019-07-21,3.0757120564459552,0.18771808684261365,5.890216598931333,ARG
Argentina,2019-07-28,1.463854024475398,-2.0348768240517936,3.566527025441756,ARG
Argentina,2019-08-04,1.6731194582208873,-1.1101981411724295,4.4805774674723295,ARG
Argentina,2019-08-11,-0.06170295872627065,-4.3697401398609195,4.870103856904195,ARG
Argentina,2019-08-18,-0.7337857461626609,-3.6742872625685887,2.1663640816788456,ARG
Argentina,2019-08-25,0.13178251730525706,-2.5158968391113095,2.734227327967038,ARG
Argentina,2019-09-01,1.3015482190694814,-1.39115912654878,3.5396380850492575,ARG
Argentina,2019-09-08,2.588767534678395,0.4229022097457355,5.21769592940076,ARG
Argentina,2019-09-15,1.1175132164779915,-1.3306212363514345,3.5763034579623643,ARG
Argentina,2019-09-22,1.894196650259139,-0.6833673761357023,4.47898984310107,ARG
Argentina,2019-09-29,-1.1064477610577033,-3.986082495255009,1.7098017237690109,ARG
Argentina,2019-10-06,0.41297916147039815,-2.2703187605045803,2.973943678173138,ARG
Argentina,2019-10-13,0.5723774776195852,-1.8712091219807043,3.0364332741552333,ARG
Argentina,2019-10-20,0.5447066955954097,-2.436593018022824,3.3030246018982274,ARG
Argentina,2019-10-27,-3.3090472417604078,-7.2996372127042966,0.42447517680136443,ARG
Argentina,2019-11-03,1.1758313981691766,-0.9599344878801818,3.0515943388331253,ARG
Argentina,2019-11-10,-0.8314129044523514,-5.0839032163846465,1.792246147560613,ARG
Argentina,2019-11-17,-1.5184390081183994,-3.917029072506536,0.6995401553772844,ARG
Argentina,2019-11-24,0.12004412974840688,-2.7911841280548337,2.957561255578944,ARG
Argentina,2019-12-01,-0.44535610936635367,-3.2565091485531843,2.0553669870236155,ARG
Argentina,2019-12-08,0.1596628564746993,-2.955959860486456,2.5598372813561823,ARG
Argentina,2019-12-15,-1.0152760537361845,-4.430809177035286,2.482997159493629,ARG
Argentina,2019-12-22,1.7581760972043519,-1.0439202807114536,4.347854573495712,ARG
Argentina,2019-12-29,0.6625876899777307,-1.7889401113737302,2.904953057153041,ARG
Argentina,2020-01-05,1.2210162386056789,-1.1591575817799626,3.5134765191521864,ARG
Argentina,2020-01-12,0.6043636432881031,-1.47835469045395,3.055794992841016,ARG
