region,date,Tracker (yoy),Low (yoy),High (yoy),ISO3,Tracker (yo2y),Low (yo2y),High (yo2y),Tracker (counterfactual),Low (counterfactual),High (counterfactual)
Argentina,2019-04-28,-3.235536603660595,-7.624110149619008,1.2198885003313484,ARG,-3.633994498510512,-7.129776185530745,-0.4467648534124827,,,
Argentina,2019-05-05,-3.974846062081086,-8.02928769528635,-0.6022204801029101,ARG,-4.858270545682712,-8.058480334401942,-0.9273365152601623,,,
Argentina,2019-05-12,-0.15940129593561592,-3.644382965259133,3.1327857905221483,ARG,-2.137445288364415,-5.30350951308141,1.484602700174555,,,
Argentina,2019-05-19,-1.1284320060177373,-5.142446218948708,1.4982494380489806,ARG,-4.440083213880863,-8.232747524672682,-0.9761798415344155,,,
Argentina,2019-05-26,0.00786737366294506,-3.1723478832289858,2.4896469369978163,ARG,-2.955541623033912,-6.590963040581917,0.4103818271632944,,,
Argentina,2019-06-02,-0.5226512874728252,-5.302240756928166,2.9121583891303877,ARG,-4.626755947466172,-7.718104962918686,-1.913404491941096,,,
Argentina,2019-06-09,1.1247229973876762,-2.729817372792816,4.215768129867503,ARG,-2.763328125045874,-5.779929461271545,1.2631233386492,,,
Argentina,2019-06-16,1.1200743168772571,-2.8079720425626067,5.056399619615796,ARG,0.3917739948077577,-3.482674301555081,4.64179770798842,,,
Argentina,2019-06-23,0.8932670300253928,-2.0813085542628706,3.8354793765311745,ARG,-3.216500896586257,-6.20545630943824,0.03283051247799407,,,
Argentina,2019-06-30,1.6000226507037676,-1.2943789599879698,5.091105277238587,ARG,-2.185136863435343,-6.679814333841212,1.980208563592838,,,
Argentina,2019-07-07,-3.831113143569127,-7.423851625430031,-0.2097840831658984,ARG,-5.128717632507672,-8.542646862745883,-2.057166082581065,,,
Argentina,2019-07-14,-3.257423450238132,-6.366203517133281,0.015503440535007962,ARG,-4.956328435969598,-7.096087515662679,-2.232985573841865,,,
Argentina,2019-07-21,2.3254057600815194,-0.23255305671545048,4.7428099692349965,ARG,-1.329503513587823,-3.830630641352117,1.90187170421805,,,
Argentina,2019-07-28,0.6962691384026836,-1.4990656776231726,3.2289990102084127,ARG,-2.002714353430876,-4.521300585340283,0.7014176406462966,,,
Argentina,2019-08-04,1.1175550287808724,-1.1958541403403855,4.070968518870767,ARG,-2.992878675839229,-5.574945895591576,-0.1434546911221992,,,
Argentina,2019-08-11,-1.1214526496595778,-4.626616129671168,3.2606489234987466,ARG,-2.519220956824632,-6.392841302845685,1.282415474486191,,,
Argentina,2019-08-18,-0.8147168718808703,-4.203004903247975,2.4834161827221948,ARG,-2.810913165758074,-6.587592857337033,1.403791234015499,,,
Argentina,2019-08-25,0.2978746730572334,-2.887127779876749,4.460236895976689,ARG,-2.864887388834674,-6.277131262065392,2.079416434063278,,,
Argentina,2019-09-01,1.0442180867637132,-1.679974292440571,4.016527551081022,ARG,-0.2139673542076277,-3.30116130474053,4.405122210248091,,,
Argentina,2019-09-08,2.1776365874615466,-0.5720725315197246,5.675359454842448,ARG,-2.86540951074792,-5.42296493960518,0.8450060511334659,,,
Argentina,2019-09-15,0.1320510607459764,-2.2640449148317177,2.881298468726599,ARG,-2.41931606392446,-4.883184925120894,0.6628863137045296,,,
Argentina,2019-09-22,2.1320051132464988,-0.5408498632261174,5.71030860936286,ARG,-2.271859570460625,-5.152602638107659,1.320643020148783,,,
Argentina,2019-09-29,-0.9668865556192905,-3.7017579732035264,2.135838267950085,ARG,-2.123321925860154,-5.929838739096019,2.458573498327032,,,
Argentina,2019-10-06,0.0011830003292773042,-2.231998320999859,2.2370763392794633,ARG,-3.923975478002947,-7.417851066070529,0.4757036375744631,,,
Argentina,2019-10-13,0.7040749295412381,-1.6404212532331406,3.324700338375177,ARG,-2.460700949784668,-5.569551320073481,2.013293736208053,,,
Argentina,2019-10-20,0.10138168464051175,-2.5871964012538493,2.6336419642179516,ARG,-3.180254658077296,-6.268062702903788,0.9884666444520505,,,
Argentina,2019-10-27,-2.7264871671503013,-6.262729203419628,1.1718315382288509,ARG,-5.746678385672527,-10.32402837251409,-0.1196729602924815,,,
Argentina,2019-11-03,0.9355263482441127,-1.6244245601362493,3.355357108853913,ARG,-3.150653758869189,-6.136610584310867,0.8587174414722625,,,
Argentina,2019-11-10,-1.5663783406887117,-4.266325174336757,1.1021712596613014,ARG,-4.929772952007823,-7.468218769036002,-1.255846381474053,,,
Argentina,2019-11-17,-1.7199506942297034,-4.290628637567283,0.7723734541126094,ARG,-5.793023951254563,-8.880386064323137,-0.1452535353799854,,,
Argentina,2019-11-24,0.2768628911466141,-2.0120597446437096,4.058496046162713,ARG,-4.143746383869005,-7.886836766726802,0.6552691131427278,,,
Argentina,2019-12-01,-0.7272778989397028,-2.948660620078526,1.8055882376263548,ARG,-4.826150016495233,-7.795228147040456,-0.215036595170939,,,
Argentina,2019-12-08,0.1770762417842443,-2.035364070612436,2.4092991077192014,ARG,-2.936212951086085,-5.328749477446301,1.573138643472928,,,
Argentina,2019-12-15,-0.7394062022369846,-3.34209743699289,2.140654997414474,ARG,-3.230593033569315,-6.55273245194997,2.34065086809168,,,
Argentina,2019-12-22,2.0580822202086453,-0.7715851762502854,4.965580232578873,ARG,-1.117160066056405,-4.753295967773301,4.773066606316661,,,
Argentina,2019-12-29,0.5299700207493564,-1.5420362101192153,2.9057650966368573,ARG,-1.763541081172219,-5.606614069654223,2.889422094819118,,,
Argentina,2020-01-05,1.202500388912564,-1.0734356327184431,4.472288828580494,ARG,-0.869878350317666,-4.454557296877855,4.376827778337787,8.106541711853698,4.19726330473742,13.82834700683537
Argentina,2020-01-12,0.6957084538748098,-1.4943990081488276,3.2137443839658246,ARG,-4.370128192163843,-7.239597419110721,-0.2458181343543411,4.289337624616851,1.160032530348287,8.787111761047871
Argentina,2020-01-19,-1.2753627110752965,-3.7807475678790734,0.9450162135862734,ARG,-5.132342549513282,-8.148791987263865,-0.187557935411323,3.458103315156746,0.1685086739206199,8.850647531229129
Argentina,2020-01-26,-1.051762304299704,-3.1870614352874043,1.2136334595068585,ARG,-4.25823050015467,-7.531904869485389,1.026798040962991,4.411367864339555,0.8412560873183317,10.17496573873502
Argentina,2020-02-02,-0.30371350255626095,-1.8231868948137482,1.5384902631607562,ARG,-2.881995645758579,-6.051952662565393,1.067750931886001,5.912223388534854,2.455220766534061,10.21962699141092
Argentina,2020-02-09,-2.2468576542354315,-5.142980382282776,0.7421641760805628,ARG,-5.190602196759389,-8.834911430047912,-0.2355482817075563,3.394568146629595,-0.5797401824943149,8.798311568281614
Argentina,2020-02-16,-1.0211322573353856,-3.7886060212039325,1.2405609791515124,ARG,-3.672060601577142,-7.020032489027922,0.3256922405954235,5.050616556222987,1.399479480250565,9.410373481704305
Argentina,2020-02-23,-0.3806239878003206,-3.479437630060698,2.318311477736893,ARG,-2.718204927666636,-6.681567464630999,2.02878297210666,6.090845666029843,1.768593152957187,11.26768230107447
Argentina,2020-03-01,-2.447428947621568,-6.048987445869918,1.2781455334296379,ARG,-4.137033195266356,-7.387574035396324,0.5363237230224224,4.543539814481745,0.9986563514973179,9.64007804336411
Argentina,2020-03-08,-2.2356222138379267,-5.583923137642291,1.3681933462314362,ARG,-3.784291034008189,-7.654985813634718,1.836000416569542,4.928223445803703,0.7070299308163053,11.05744292040327
Argentina,2020-03-15,-14.253620339385527,-19.85894735606192,-7.95682458677922,ARG,-16.39871811510563,-22.93500490879831,-6.533676180354709,-8.828463873041803,-15.95662380207021,1.929876272823972
Argentina,2020-03-22,-24.742911881008975,-33.800387356762506,-16.454579302397793,ARG,-27.27046620873775,-36.0587634314024,-15.76492946529702,-20.68466932508842,-30.26876348806787,-8.137284461912198
Argentina,2020-03-29,-22.546569962061785,-30.200702044941465,-13.274208436696348,ARG,-23.47986813095661,-31.20055022870885,-10.6841897683365,-20.75276229978076,-28.748602276318,-7.501057944729384
Argentina,2020-04-05,-22.205983453069074,-31.1919602043441,-11.97976742830687,ARG,-24.15208981367207,-32.16610152213623,-11.09101333283037,-21.12554597021776,-29.45933916953696,-7.543295992112009
Argentina,2020-04-12,-21.621109129013533,-29.313546812083164,-11.157482185051865,ARG,-23.17493924094161,-30.85536955134637,-12.2309759104891,-20.10940435550921,-28.0963053256056,-8.728746266303267
Argentina,2020-04-19,-22.903827583759444,-29.886784615990216,-13.982968205991199,ARG,-23.45941083950924,-29.25549667260116,-14.29077689977048,-20.40522716682834,-26.43259304245781,-10.87073907850415
Argentina,2020-04-26,-19.70133756296832,-25.15814929081735,-13.022499976008415,ARG,-19.09655674192701,-24.00502831283962,-11.5622486172794,-15.86828298322411,-20.97261630401515,-8.033334882955268
Argentina,2020-05-03,-17.793214812504477,-22.764586356661532,-9.625768182077362,ARG,-19.01017971690489,-23.73394581336152,-11.27162004745282,-15.77845927321549,-20.69071685430271,-7.731109419996351
Argentina,2020-05-10,-17.184447943300665,-21.853312071416344,-11.19777066154221,ARG,-18.01827913150555,-21.94297934494094,-11.48578749774454,-14.74697907906116,-18.82828581256014,-7.953822750808137
Argentina,2020-05-17,-18.615076963055785,-22.888397988091477,-12.291696767506545,ARG,-19.60668830714914,-24.05443908051875,-11.52831587197107,-16.39877022527744,-21.02399869957898,-7.998048126163271
Argentina,2020-05-24,-19.286573640752895,-24.310759038767387,-13.084699537189403,ARG,-19.08658795965297,-23.28840209362724,-12.48986611607245,-15.85791641864409,-20.22739469349288,-8.997966915479772
Argentina,2020-05-31,-15.841314924474606,-20.33059937589376,-9.594949929328472,ARG,-16.62281630387335,-20.72295840157313,-9.873980082145213,-13.29583338001741,-17.55958261985989,-6.277699709392204
Argentina,2020-06-07,-13.748147451482982,-18.670960268960542,-8.858178286399028,ARG,-14.1886525763677,-17.86889447622431,-8.792196210897504,-10.76453970884761,-14.59163355804693,-5.152749634785303
Argentina,2020-06-14,-14.661788138144532,-19.303529206827665,-8.40341696957892,ARG,-13.43606558136635,-17.70652634743935,-6.215745699906302,-9.981922386961983,-14.42278648660765,-2.473491539341877
Argentina,2020-06-21,-13.452857301398154,-17.86589341104509,-7.565935987668717,ARG,-14.44433161976901,-19.81938824630621,-7.134289705590296,-11.030421061486,-16.61995748715412,-3.428688020994097
Argentina,2020-06-28,-15.402708805565105,-20.607886334663323,-9.396042005808814,ARG,-16.75526041395121,-21.35489596237117,-10.86811180195366,-13.55789495944545,-18.33419891813334,-7.444625565628593
Argentina,2020-07-05,-14.829098738474771,-19.111764034213067,-9.757466927348311,ARG,-16.53432993180828,-21.26887388615857,-11.53549098813373,-13.18177380350692,-18.10648964931751,-7.982147061431966
Argentina,2020-07-12,-12.43103970779607,-16.551311328534776,-7.212282609525666,ARG,-14.02286043996057,-18.25872168299675,-8.480294777756608,-10.5694264006683,-14.97542900310856,-4.804233130465107
Argentina,2020-07-19,-11.90188407971158,-15.986734883250364,-7.83110450136402,ARG,-12.66025184360194,-16.97215386258556,-7.470439478908593,-9.152086058952968,-13.63718375858671,-3.753815088059365
Argentina,2020-07-26,-10.919465946490574,-15.839895005701049,-6.8884159674991,ARG,-9.543968940473674,-13.49472271458373,-5.350326637266979,-5.910631772957142,-10.02007502701724,-1.548543913726852
Argentina,2020-08-02,-12.74123516701231,-17.444913724969595,-8.14520900873812,ARG,-10.69604588990806,-14.14946364280583,-7.253701575525234,-7.108984066900781,-10.70111486004137,-3.528371497827387
Argentina,2020-08-09,-9.953151414533,-15.316537101604279,-5.807802756536907,ARG,-7.751222345364012,-11.63423287764581,-4.367830775079202,-4.045876128150572,-8.084855105250755,-0.526584251378881
Argentina,2020-08-16,-9.515396290918481,-14.506947876434694,-6.1927066747720385,ARG,-8.777650172344302,-12.44108694119595,-5.61687658891064,-5.113532365551466,-8.924117984703162,-1.825800347127027
Argentina,2020-08-23,-10.892361327686384,-15.77882128008264,-7.188954693747473,ARG,-9.111836132339429,-12.80874695879334,-4.390547065877553,-5.461141535199843,-9.30654576063905,-0.5502129848601323
Argentina,2020-08-30,-12.980031534803128,-17.399503137435513,-9.481255678984532,ARG,-12.52189301925697,-16.16978118956997,-8.113060542790574,-9.008169791361187,-12.80258227317553,-4.422248239523374
Argentina,2020-09-06,-11.55291764969483,-16.03072299976555,-7.6770466821284735,ARG,-9.330186365662614,-13.53237635731962,-4.969789583574652,-5.688262217645956,-10.05924109936166,-1.152721871243811
Argentina,2020-09-13,-8.854953512165263,-13.533621514456634,-5.46823902036836,ARG,-6.848641166107755,-10.87207359666138,-3.053906325806974,-3.107041072763772,-7.292082258639665,0.8401164526210092
Argentina,2020-09-20,-11.557193927668624,-16.26994796427951,-8.084297534943722,ARG,-8.299094502958347,-12.3959010839501,-3.421204644067171,-4.61575460472573,-8.877117152240588,0.4580649043586904
Argentina,2020-09-27,-10.996451257842141,-14.897113323398026,-8.213208993801375,ARG,-9.29785986752747,-13.83064908493671,-4.879500035730681,-5.654637264716866,-10.36949451388943,-1.058805673344798
Argentina,2020-10-04,-9.456227269993454,-13.362525951494646,-6.084453709591887,ARG,-8.524907291502242,-12.56024699497927,-4.266219663389448,-6.171665459550779,-10.31081626521075,-1.803420993844773
Argentina,2020-10-11,-9.648580985785067,-13.55481930991635,-6.498435016767599,ARG,-9.505625489148795,-13.8258763986112,-5.589680697512671,-7.177613116055737,-11.60900460885782,-3.160928715172573
Argentina,2020-10-18,-8.53874020734167,-12.776406098044603,-5.338931209663205,ARG,-6.826428740580669,-10.86306470397628,-3.324879762213352,-4.429492711024641,-8.569973123528317,-0.8378646598896311
Argentina,2020-10-25,-9.603421481131177,-13.865096649184947,-6.234624367031346,ARG,-10.1411736245264,-15.28900555152472,-6.544865534083998,-7.829511040366111,-13.10977348014971,-4.140686152307738
Argentina,2020-11-01,-7.660722704566026,-11.537977419046605,-4.648323451281405,ARG,-6.985088434477725,-11.84218346080977,-2.878371214099295,-4.592234003722728,-9.57428019281721,-0.3798694593696084
Argentina,2020-11-08,-10.736399409414405,-14.782499294442623,-7.646045843489135,ARG,-10.64247742725027,-15.1991201824957,-6.862485122731204,-8.343711130419763,-13.0175757657137,-4.466476661371866
Argentina,2020-11-15,-7.6931636227011415,-12.13098542860142,-4.431462938023406,ARG,-9.20060260431727,-13.46608710915043,-5.25234352442348,-6.864743367219662,-11.23995956264865,-2.814913377091355
Argentina,2020-11-22,-4.844131728837804,-8.663935822642639,-2.1338365782988844,ARG,-7.711331363721536,-13.00197645045484,-3.473490681820108,-5.33715989015906,-10.76390942857939,-0.9902986686275206
Argentina,2020-11-29,-3.9927864954094714,-8.230812703839575,-0.703539532837395,ARG,-6.009391256893481,-10.52587388470033,-2.082683198564419,-3.591436535495163,-8.224107904284283,0.4362880224199506
Argentina,2020-12-06,-3.7365369160206705,-7.3801751957246635,-0.8943594002187075,ARG,-7.21043111606606,-11.76724420481131,-3.195728919669361,-4.823373736826808,-9.49741308753378,-0.7053913482854002
Argentina,2020-12-13,-2.6619663517145455,-7.654705435989554,1.0439789464295637,ARG,-3.956908266831157,-8.610286782563053,0.6142416795751489,-1.4861524092047,-6.25924138008771,3.202592621890799
Argentina,2020-12-20,-5.6141047018940755,-10.166992587878832,-2.3193627470040683,ARG,-6.393830472783685,-10.5183239609026,-2.464776882974068,-3.985765639636785,-8.216363754976829,0.04436478971190372
Argentina,2020-12-27,-3.7464430149887007,-7.55594236061874,-0.6132210318321656,ARG,-3.392797936420606,-7.054958698997285,-0.1563763336963585,-0.9075300625933203,-4.663901715223851,2.412150080525444
Argentina,2021-01-03,-5.387672780074651,-9.483688667971297,-2.415162446543367,ARG,-4.221229951502377,-8.093071620697819,-1.072465722571905,-2.033788247147528,-5.994056902151712,1.186888976573508
Argentina,2021-01-10,-3.629508787398397,-7.203112911818852,-0.24330635937617046,ARG,-3.209479217730209,-7.191238370960139,-0.3178168652662982,-0.9989306625738159,-5.071627150080039,1.958772868133352
Argentina,2021-01-17,-2.8707565506729136,-5.955331831708774,-0.3081605336514629,ARG,-2.541195346753809,-6.672782600693619,0.4184203351375219,-0.3153842025186426,-4.541330637098095,2.711824608498836
Argentina,2021-01-24,-2.545561127352454,-6.1411693282483375,0.6003285745067732,ARG,-2.544315680104533,-6.517920047082391,0.6228709256044198,-0.3185757995460614,-4.382931257862143,2.920944540071724
Argentina,2021-01-31,-3.8017739920886235,-7.518283177636254,-0.7337702519113495,ARG,-3.239511387596493,-7.605097137652349,0.05498803996717251,-1.029648721607457,-5.494937822716728,2.340092071440192
Argentina,2021-02-07,-1.947188193769271,-5.24459511709521,1.2014408455964718,ARG,-3.586355490276298,-6.81827979993454,-1.174963593254252,-1.384414217041907,-4.690150771487644,1.082050210128704
Argentina,2021-02-14,-3.148541041545438,-7.195474121362101,1.046031532539576,ARG,-3.660173997765791,-7.388567807320131,0.3780845815401625,-1.459918627177192,-5.273463291196967,2.670567647523781
Argentina,2021-02-21,-5.189660812801045,-8.434324504007773,-1.9531281334026747,ARG,-4.826181466162031,-8.596095555901256,-1.634231827361638,-2.652555936013723,-6.5085691403851,0.6122929867780513
Argentina,2021-02-28,-3.0499029785191767,-6.87238491141759,0.061145117288609996,ARG,-4.216440836175429,-8.445964692162484,-0.8196106034923902,-2.02888975569695,-6.355009515635002,1.445518922708677
Argentina,2021-03-07,0.9512804109488802,-3.1506741292571596,4.468042696223541,ARG,-3.731643772396732,-7.847040578218032,-0.7467653519579639,-1.533020662961093,-5.742406884166041,1.5200278492004
Argentina,2021-03-14,13.00768073633579,6.440913684468396,20.234344495850284,ARG,-2.592366780161157,-6.668640576707586,1.483894785948002,-0.367724313780704,-4.537094015572308,3.801632878249017
Argentina,2021-03-21,26.622358640922837,16.341024998813555,37.07275445216276,ARG,-2.682153318196307,-6.497432592383215,1.059897403806109,-0.4595614400379477,-4.361975900800019,3.367952039577404
Argentina,2021-03-28,25.54123638502474,15.176363390819555,34.16886933656229,ARG,-2.435665632466552,-5.682375412943187,1.721238517436561,-0.207444349763708,-3.528304052735232,4.044397180248782
