region,0
Argentina,0.7274734670784697
Australia,0.895579740759878
Austria,0.5746893311621606
Belgium,0.6465604401934306
Brazil,0.5880639412985413
Bulgaria,0.6613603582716508
Chile,0.6841157077397152
Colombia,0.6955734012011898
Czech Republic,0.4868851436684506
Denmark,0.59461721123908
Estonia,0.8450671752788517
Finland,0.6827000789654946
France,0.5318100201506055
Germany,0.6265372032284595
Greece,0.7205388356407875
Hungary,0.5960553688617342
Iceland,0.9718951241199139
India,0.573778506177275
Indonesia,0.47757150639895646
Ireland,0.8451379783257554
Israel,0.9282329772755157
Italy,0.6273434978239835
Japan,0.6788005102554483
Korea,0.8487968984775522
Latvia,0.6253829628832247
Lithuania,0.6074297953772659
Luxembourg,0.9883232464504393
Mexico,0.6301056570048189
Netherlands,0.6269562657392147
New Zealand,0.8068289497859029
Norway,0.9079078605461636
Poland,0.7497489021905548
Portugal,0.4961349624956008
Romania,0.6592216451315036
Russia,0.5965086661624173
Slovak Republic,0.7333980692926654
Slovenia,0.622520936533849
South Africa,0.5980702071818952
Spain,0.5137504414181323
Sweden,0.7300141708951897
Switzerland,0.6889999018814185
Turkey,0.7616728432762452
United States,0.5870224763408783
Canada,0.5752591784163503
United Kingdom,0.5895853816985677
AVERAGE NRMSE,0.6800894876510042
